,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
VA-602,117,97,45,38.46%,87,30,0,30,92,25,0,1,0,87,67,45,51.72%,18,11,26,66,21,0,1,0,30,30,0,0.00%,4,26,4,0,0,0,0,0,0,.,0,0,0,0,0,0,26,26,26,100.00%,4,19,7,0,0,0,24,24,24,100.00%,4,11,13,0,0,0,24,0,0,0,.,0,0,0,0,0,0
VA-603,205,184,184,89.76%,145,48,12,30,100,105,0,0,0,145,124,124,85.52%,50,0,20,68,77,0,0,0,48,48,48,100.00%,10,32,16,0,0,0,12,12,12,100.00%,0,0,12,0,0,0,109,109,109,100.00%,24,82,27,0,0,0,47,47,47,100.00%,3,8,39,0,0,0,17,3,3,3,100.00%,0,0,3,0,3,0
VA-604,298,280,280,93.96%,208,90,0,56,205,89,4,0,4,208,190,190,91.35%,0,2,27,121,83,4,0,4,90,90,90,100.00%,29,84,6,0,0,0,0,0,0,.,0,0,0,0,0,0,220,220,200,90.91%,48,166,54,0,18,0,121,121,39,32.23%,15,70,51,0,82,0,13,0,0,0,.,0,0,0,0,0,0
VI-500,205,187,68,33.17%,154,51,0,41,72,133,0,0,0,154,147,28,18.18%,0,0,30,61,93,0,0,0,51,40,40,78.43%,11,11,40,0,0,0,0,0,0,.,0,0,0,0,0,0,11,11,11,100.00%,0,0,11,0,10,0,73,73,73,100.00%,4,12,61,0,18,0,0,0,0,0,.,0,0,0,0,0,0
VT-500,720,586,499,69.31%,532,188,0,93,302,413,5,59,76,532,429,392,73.68%,138,255,75,249,282,1,4,19,188,157,107,56.91%,18,53,131,4,55,57,0,0,0,.,0,0,0,0,0,0,492,492,327,66.46%,137,414,78,0,27,0,429,429,226,52.68%,32,91,338,0,203,0,243,0,0,0,.,0,0,0,0,0,0
VT-501,217,181,127,58.53%,143,74,0,22,71,146,0,27,16,143,127,106,74.13%,47,141,17,60,83,0,1,8,74,54,21,28.38%,5,11,63,0,26,8,0,0,0,.,0,0,0,0,0,0,96,74,24,25.00%,33,83,13,0,7,0,147,147,87,59.18%,2,8,139,0,39,0,103,22,22,22,100.00%,0,0,22,0,0,0
WA-500,6470,5801,4686,72.43%,3842,2578,50,909,3309,3098,63,221,543,3842,3619,3018,78.55%,389,14,401,1523,2261,58,53,219,2578,2132,1618,62.76%,508,1786,787,5,163,324,50,50,50,100.00%,0,0,50,0,5,0,1068,1028,1028,96.25%,188,700,368,0,170,69,5767,5767,4746,82.30%,389,1069,4698,0,1348,61,2444,1794,1736,1672,93.20%,355,1316,478,0,56,113
WA-501,5647,4876,2899,51.34%,3519,2128,0,1105,3255,2334,58,206,279,3519,2916,1671,47.49%,465,27,560,1746,1725,48,31,164,2128,1960,1228,57.71%,545,1509,609,10,175,115,0,0,0,.,0,0,0,0,0,0,2194,2128,1975,90.02%,544,1086,1108,0,155,72,2423,2256,1726,71.23%,366,1046,1377,0,507,1,874,544,514,347,63.79%,96,260,284,0,155,0
WA-502,998,967,572,57.31%,720,278,0,120,456,506,36,11,71,720,689,361,50.14%,0,211,48,238,446,36,0,36,278,278,211,75.90%,72,218,60,0,11,35,0,0,0,.,0,0,0,0,0,0,358,358,358,100.00%,41,140,218,0,121,13,808,808,313,38.74%,86,258,550,0,490,0,230,95,95,70,73.68%,22,70,25,0,0,0
WA-503,917,843,817,89.09%,756,161,0,144,424,487,6,19,46,756,682,656,86.77%,0,50,83,278,472,6,10,46,161,161,161,100.00%,61,146,15,0,9,0,0,0,0,.,0,0,0,0,0,0,513,465,465,90.64%,150,413,100,0,88,47,897,897,897,100.00%,101,311,586,0,336,14,897,596,596,596,100.00%,160,534,62,0,0,0
WA-504,586,518,496,84.64%,475,111,0,84,252,295,39,2,51,475,423,423,89.05%,2,0,70,220,239,16,2,16,111,95,73,65.77%,14,32,56,23,0,35,0,0,0,.,0,0,0,0,0,0,398,342,304,76.38%,71,246,152,0,47,17,1569,1569,1234,78.65%,302,1013,556,0,363,0,837,506,448,369,72.92%,136,430,76,0,0,58
WA-508,398,375,367,92.21%,180,218,0,90,259,128,11,0,19,180,157,157,87.22%,77,38,28,104,65,11,0,11,218,218,210,96.33%,62,155,63,0,0,8,0,0,0,.,0,0,0,0,0,0,411,411,411,100.00%,83,260,151,0,0,51,435,435,395,90.80%,12,40,395,0,222,11,329,0,0,0,.,0,0,0,0,0,0
WI-500,3009,2018,1848,61.42%,1882,1120,7,638,1967,1030,12,110,95,1882,1197,1106,58.77%,338,227,352,1113,758,11,3,33,1120,814,735,65.63%,286,854,265,1,107,62,7,7,7,100.00%,0,0,7,0,0,0,753,753,753,100.00%,173,596,157,0,40,0,750,750,635,84.67%,85,269,481,0,384,0,366,104,104,59,56.73%,15,54,50,0,0,0
