coc_code,coc_name,est_rate_perc_2017,rank_est_rate_perc_2017,total_pop_2017
nj-503,"camden city & county/gloucester, cape may, cumberland counties coc",0.1,260,1052022
nj-511,paterson/passaic county coc,0.1,260,506834
nv-502,nevada balance of state coc,0.1,260,330165
oh-508,"canton, massillon, alliance/stark county coc",0.1,260,374545
ok-507,southeastern oklahoma regional coc,0.1,260,540654
pa-600,"pittsburgh, mckeesport, penn hills/allegheny county coc",0.1,260,1229575
sc-501,"greenville, anderson, spartanburg/upstate coc",0.1,260,1480081
sc-502,columbia/midlands coc,0.1,260,1496796
tn-509,appalachian regional coc,0.1,260,506973
tx-601,"fort worth, arlington/tarrant county coc",0.1,260,2090799
tx-607,texas balance of state coc,0.1,260,10634996
al-503,huntsville/north alabama coc,0.09,281,564541
il-507,"peoria, pekin/fulton, tazewell, peoria, woodford counties coc",0.09,281,396538
md-502,harford county coc,0.09,281,250586
md-505,baltimore county coc,0.09,281,828373
mi-509,washtenaw county coc,0.09,281,362072
ms-503,gulf port/gulf coast regional coc,0.09,281,484997
nc-506,"wilmington/brunswick, new hanover, pender counties coc",0.09,281,399727
nh-500,new hampshire balance of state coc,0.09,281,924881
nj-509,morris county coc,0.09,281,498238
nj-515,elizabeth/union county coc,0.09,281,552128
nm-501,new mexico balance of state coc,0.09,281,1554889
pa-502,"upper darby, chester, haverford/delaware county coc",0.09,281,562949
pa-511,"bristol, bensalem/bucks county coc",0.09,281,625857
va-503,virginia beach coc,0.09,281,451176
va-513,"harrisburg, winchester/western virginia coc",0.09,281,362584
va-601,fairfax county coc,0.09,281,1174776
va-604,prince william county coc,0.09,281,507573
wi-500,wisconsin balance of state coc,0.09,281,4094517
wv-500,"wheeling, weirton area coc",0.09,281,143954
fl-603,"ft myers, cape coral/lee county coc",0.08,301.5,698265
ga-501,georgia balance of state coc,0.08,301.5,6905893
ia-501,iowa balance of state coc,0.08,301.5,2442251
il-503,"champaign, urbana, rantoul/champaign county coc",0.08,301.5,207074
il-504,madison county coc,0.08,301.5,266162
il-520,southern illinois coc,0.08,301.5,576910
ks-507,kansas balance of state coc,0.08,301.5,1474552
la-502,"shreveport, bossier/northwest louisiana coc",0.08,301.5,483539
md-503,annapolis/anne arundel county coc,0.08,301.5,564194
mi-500,michigan balance of state coc,0.08,301.5,2358534
mn-502,rochester/southeast minnesota coc,0.08,301.5,717982
nc-509,"gastonia/cleveland, gaston, lincoln counties coc",0.08,301.5,390735
nj-513,somerset county coc,0.08,301.5,332768
nj-516,"warren, sussex, hunterdon counties coc",0.08,301.5,375588
ny-501,"elmira/steuben, allegany, livingston, chemung, schuyler counties coc",0.08,301.5,314889
ny-508,"buffalo, niagara falls/erie, niagara, orleans, genesee, wyoming counties coc",0.08,301.5,1272364
ny-510,ithaca/tompkins county coc,0.08,301.5,104681
