coc_code,coc_name,perc_change_2014_2018,rank_perc_change_2014_2018,overall_homeless_2014,overall_homeless_2018
ca-524,yuba city & county/sutter county coc,0.05371900826446281,99,726,765
nh-501,manchester coc,0.04914004914004914,100,407,427
tx-701,"bryan, college station/brazos valley coc",0.047872340425531915,101,188,197
nj-506,"jersey city, bayonne/hudson county coc",0.047503045066991476,102,821,860
nc-501,asheville/buncombe county coc,0.045283018867924525,103,530,554
ca-526,"amador, calaveras, mariposa, tuolumne counties coc",0.041884816753926704,104,382,398
il-509,dekalb city & county coc,0.041666666666666664,105,96,100
nc-506,"wilmington/brunswick, new hanover, pender counties coc",0.037383177570093455,106,321,333
ma-500,boston coc,0.03357274093870052,107,5987,6188
ma-506,worcester city & county coc,0.031180400890868598,108,1796,1852
mn-502,rochester/southeast minnesota coc,0.03112033195020747,109,482,497
fl-503,"lakeland, winterhaven/polk county coc",0.029850746268656716,110,536,552
tn-504,nashville-davidson county coc,0.02864816472694718,111,2234,2298
ok-505,northeast oklahoma coc,0.02349869451697128,112,383,392
or-501,"portland, gresham/multnomah county coc",0.023427552839317547,113,3927,4019
nj-509,morris county coc,0.02313624678663239,114,389,398
mo-603,"st. joseph/andrew, buchanan, dekalb counties coc",0.02,115,200,204
al-507,alabama balance of state coc,0.019553072625698324,116,716,730
ma-509,cambridge coc,0.018148820326678767,117,551,561
ca-607,pasadena coc,0.016516516516516516,118,666,677
ca-521,"davis, woodland/yolo county coc",0.013574660633484163,119,442,448
pa-500,philadelphia coc,0.00871383757406762,120,5738,5788
ca-601,san diego city and county coc,0.008229485069362802,121,8506,8576
il-513,springfield/sangamon county coc,0.007434944237918215,122,269,271
ar-500,little rock/central arkansas coc,0.006517690875232775,123,1074,1081
ks-505,"overland park, shawnee/johnson county coc",0.005988023952095809,124,167,168
id-500,boise/ada county coc,0.00398406374501992,125,753,756
nh-502,nashua/hillsborough county coc,0.0035714285714285713,126,280,281
ny-504,cattaragus county coc,0,127,33,33
ne-500,nebraska balance of state coc,-0.0017857142857142857,128,560,559
ny-500,"rochester, irondequoit, greece/monroe county coc",-0.003579952267303103,129,838,835
va-514,"fredericksburg/spotsylvania, stafford counties coc",-0.004975124378109453,130,201,200
tn-500,chattanooga/southeast tennessee coc,-0.006379585326953748,131,627,623
mn-509,duluth/st.louis county coc,-0.009324009324009324,132,429,425
ny-601,poughkeepsie/dutchess county coc,-0.009925558312655087,133,403,399
pa-509,eastern pennsylvania coc,-0.011380504700643246,134,2021,1998
md-504,howard county coc,-0.011764705882352941,135,170,168
il-507,"peoria, pekin/fulton, tazewell, peoria, woodford counties coc",-0.012345679012345678,136,405,400
ny-523,"glens falls, saratoga springs/saratoga, washington, warren, hamilton counties co",-0.019083969465648856,137,262,257
ks-503,topeka/shawnee county coc,-0.019230769230769232,138,416,408
md-501,baltimore coc,-0.022984028048305415,139,2567,2508
mi-508,"lansing, east lansing/ingham county coc",-0.023310023310023312,140,429,419
or-506,"hillsboro, beaverton/washington county coc",-0.027932960893854747,141,537,522
mi-523,eaton county coc,-0.031746031746031744,142,126,122
mn-505,st. cloud/central minnesota coc,-0.03789126853377265,143,607,584
ct-505,connecticut balance of state coc,-0.039204039204039205,144,3367,3235
ca-500,san jose/santa clara city & county coc,-0.04136381657195718,145,7567,7254
nj-501,bergen county coc,-0.04582210242587601,146,371,354
hi-501,honolulu city and county coc,-0.046052631578947366,147,4712,4495
md-503,annapolis/anne arundel county coc,-0.046875,148,384,366
mn-501,saint paul/ramsey county coc,-0.050666666666666665,149,1500,1424
md-601,montgomery county coc,-0.05723905723905724,150,891,840
ma-503,cape cod islands coc,-0.06036745406824147,151,381,358
tn-503,central tennessee coc,-0.06293706293706294,152,286,268
ma-519,"attleboro, taunton/bristol county coc",-0.06306306306306306,153,222,208
nc-503,north carolina balance of state coc,-0.06384976525821597,154,3195,2991
mi-504,"pontiac, royal oak/oakland county coc",-0.06564551422319474,155,457,427
ky-500,kentucky balance of state coc,-0.06819201435621355,156,2229,2077
ca-603,santa maria/santa barbara county coc,-0.06877729257641921,157,1832,1706
pa-506,reading/berks county coc,-0.0695364238410596,158,604,562
id-501,idaho balance of state coc,-0.07031828275351591,159,1351,1256
or-500,"eugene, springfield/lane county coc",-0.07130730050933787,160,1767,1641
ri-500,rhode island statewide coc,-0.07478991596638655,161,1190,1101
fl-501,tampa/hillsborough county coc,-0.07664609053497942,162,1944,1795
me-500,maine statewide coc,-0.07703595011005136,163,2726,2516
hi-500,hawaii balance of state coc,-0.07751586582048957,164,2206,2035
al-501,mobile city & county/baldwin county coc,-0.07859531772575251,165,598,551
il-503,"champaign, urbana, rantoul/champaign county coc",-0.08292682926829269,166,205,188
mn-506,northwest minnesota coc,-0.08361204013377926,167,299,274
ca-611,"oxnard, san buenaventura/ventura county coc",-0.08403361344537816,168,1428,1308
ca-609,san bernardino city & county coc,-0.08509719222462203,169,2315,2118
az-500,arizona balance of state coc,-0.08798999165971642,170,2398,2187
mi-506,"grand rapids, wyoming/kent county coc",-0.08827238335435057,171,793,723
fl-507,"orlando/orange, osceola, seminole counties coc",-0.08917480035492457,172,2254,2053
il-518,"rock island, moline/northwestern illinois coc",-0.09174311926605505,173,218,198
ks-502,wichita/sedgwick county coc,-0.0919175911251981,174,631,573
vt-500,vermont balance of state coc,-0.09250243427458617,175,1027,932
wa-504,everett/snohomish county coc,-0.0958904109589041,176,949,858
ok-500,north central oklahoma coc,-0.09950248756218906,177,201,181
va-504,charlottesville coc,-0.10294117647058823,178,204,183
ca-604,bakersfield/kern county coc,-0.10786290322580645,179,992,885
dc-500,district of columbia coc,-0.10893133711925658,180,7748,6904
ca-612,glendale coc,-0.1095890410958904,181,292,260
in-503,indianapolis coc,-0.11005291005291006,182,1890,1682
ia-500,"sioux city/dakota, woodbury counties coc",-0.1111111111111111,183,297,264
ia-501,iowa balance of state coc,-0.11242908715832904,184,1939,1721
ga-505,columbus-muscogee/russell county coc,-0.11538461538461539,185,312,276
wi-500,wisconsin balance of state coc,-0.11824040347436257,186,3569,3147
wv-503,"charleston/kanawha, putnam, boone, clay counties coc",-0.11944444444444445,187,360,317
mo-606,missouri balance of state coc,-0.11976439790575916,188,1528,1345
ny-508,"buffalo, niagara falls/erie, niagara, orleans, genesee, wyoming counties coc",-0.12040441176470588,189,1088,957
in-502,indiana balance of state coc,-0.12374418034795394,190,4081,3576
fl-510,"jacksonville-duval, clay counties coc",-0.12445095168374817,191,2049,1794
mi-513,"marquette, alger counties coc",-0.125,192,80,70
sc-500,charleston/low country coc,-0.12596899224806202,193,516,451
mo-602,"joplin/jasper, newton counties coc",-0.12698412698412698,194,315,275
ca-518,vallejo/solano county coc,-0.12818532818532818,195,1295,1129
wv-501,"huntington/cabell, wayne counties coc",-0.12844036697247707,196,218,190
ma-517,somerville coc,-0.12987012987012986,197,154,134
md-513,"wicomico, somerset, worcester counties coc",-0.13095238095238096,198,336,292
il-520,southern illinois coc,-0.13230769230769232,199,325,282
il-510,chicago coc,-0.13313185939239702,200,6287,5450
fl-500,"sarasota, bradenton/manatee, sarasota counties coc",-0.13435003631082063,201,1377,1192
ne-501,"omaha, council bluffs coc",-0.1343558282208589,202,1630,1411
ma-507,"pittsfield/berkshire, franklin, hampshire counties coc",-0.13545816733067728,203,753,651
tn-502,knoxville/knox county coc,-0.13704994192799072,204,861,743
ia-502,des moines/polk county coc,-0.13769751693002258,205,886,764
ar-501,fayetteville/northwest arkansas coc,-0.1397459165154265,206,551,474
oh-502,cleveland/cuyahoga county coc,-0.1402757964812173,207,2103,1808
oh-505,"dayton, kettering/montgomery county coc",-0.14032869785082175,208,791,680
pa-503,"wilkes-barre, hazleton/luzerne county coc",-0.140625,209,192,165
ga-503,athens-clarke county coc,-0.1417004048582996,210,247,212
tn-512,"morristown/blount, sevier, campbell, cocke counties coc",-0.14469453376205788,211,933,798
ny-604,"yonkers, mount vernon/westchester county coc",-0.14546304957904585,212,2138,1827
nc-500,winston-salem/forsyth county coc,-0.14563106796116504,213,515,440
pa-505,chester county coc,-0.14727540500736377,214,679,579
md-502,harford county coc,-0.14798206278026907,215,223,190
