field_1,location,date_full,month,day,year,coordinates,latitude,longitude,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"157",3rd Street Tunnel,2/15/18,February,"15","2018","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"173",3rd Street Tunnel,5/1/18,May,"1","2018","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"223",3rd Street Tunnel,11/1/18,November,"1","2018","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"228",45 E Street NW,11/20/18,November,"20","2018","38.896430, -77.011090","38.89643","-77.01109","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"231",3rd Street Tunnel,11/27/18,November,"27","2018","38.893132, -77.014034","38.893132","-77.014034","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"50",1000 Block of New Jersey Avenue NW,7/26/16,July,"26","2016","38.902522, -77.013728","38.902522","-77.013728","11","001","004701","11001004701","47.01",Census Tract 47.01,G5020,S,"324657","0","+38.9041493","-077.0136510"
"79",27th Street and K Street,1/12/17,January,"12","2017","38.902522, -77.013728","38.902522","-77.013728","11","001","004701","11001004701","47.01",Census Tract 47.01,G5020,S,"324657","0","+38.9041493","-077.0136510"
"88",New Jersey Avenue between K Street and L Street NW,3/21/17,March,"21","2017","38.903169, -77.013840","38.903169","-77.01384","11","001","004701","11001004701","47.01",Census Tract 47.01,G5020,S,"324657","0","+38.9041493","-077.0136510"
"91",New Jersey Avenue between K Street and L Street NW,3/28/17,March,"28","2017","38.903169, -77.013840","38.903169","-77.01384","11","001","004701","11001004701","47.01",Census Tract 47.01,G5020,S,"324657","0","+38.9041493","-077.0136510"
"37",7th Street and Maryland Avenue NE,3/9/16,March,"9","2016","38.894898, -76.996167","38.894898","-76.996167","11","001","008302","11001008302","83.02",Census Tract 83.02,G5020,S,"260891","0","+38.8963061","-076.9966527"
"165",Northeast Library,3/27/18,March,"27","2018","38.894373, -76.996437","38.894373","-76.996437","11","001","008302","11001008302","83.02",Census Tract 83.02,G5020,S,"260891","0","+38.8963061","-076.9966527"
"3",11th Street NE and H Street NE,May-15,May,N/A,"2015","38.900210, -76.991530","38.90021","-76.99153","11","001","008410","11001008410","84.10",Census Tract 84.10,G5020,S,"219939","0","+38.9015543","-076.9911234"
"107",13th Street and H Street NE,5/26/17,May,"26","2017","38.900209, -76.988306","38.900209","-76.988306","11","001","008410","11001008410","84.10",Census Tract 84.10,G5020,S,"219939","0","+38.9015543","-076.9911234"
"20",NoMa - Underpass(es),Dec-15,December,N/A,"2015","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"21",NoMa - First Street NE,Dec-15,December,N/A,"2015","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"29",NoMa - Underpass(es),2/2/16,February,"2","2016","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"33",NoMa - First Street NE,2/9/16,February,"9","2016","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"39",NoMa - First Street NE,3/11/16,March,"11","2016","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"44",NoMa - Underpass(es),5/24/16,May,"24","2016","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"45",NoMa - Underpass(es),6/28/16,June,"28","2016","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"52",NoMa - Underpass(es),8/2/16,August,"2","2016","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"53",NoMa - First Street NE,8/4/16,August,"4","2016","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"54",NoMa - Underpass(es),8/30/16,August,"30","2016","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"67",NoMa - Underpass(es),11/10/16,November,"10","2016","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"70",NoMa - Underpass(es),11/22/16,November,"22","2016","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"73",NoMa - Underpass(es),12/13/16,December,"13","2016","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"74",NoMa - First Street NE,"42724",December,"20","2016","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"96",NoMa - Underpass(es),4/11/17,April,"11","2017","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"97",NoMa - Underpass(es),4/13/17,April,"13","2017","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"105",NoMa - Underpass(es),5/18/17,May,"18","2017","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"110",NoMa - Underpass(es),6/5/17,June,"5","2017","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"113",NoMa - Underpass(es),6/20/17,June,"20","2017","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"114",NoMa - Underpass(es),6/29/17,June,"29","2017","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"118",NoMa - Underpass(es),7/20/17,July,"20","2017","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"122",NoMa - First Street NE,8/24/17,August,"24","2017","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"128",NoMa - Underpass(es),9/28/17,September,"28","2017","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"129",NoMa - Underpass(es),10/3/17,October,"3","2017","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"137",NoMa - Underpass(es),10/19/17,October,"19","2017","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"138",NoMa - First Street NE,10/26/17,October,"26","2017","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"146",NoMa - Underpass(es),12/21/17,December,"21","2017","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"148",NoMa - Underpass(es),1/11/18,January,"11","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"149",NoMa - Underpass(es),1/24/18,January,"24","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"158",NoMa - Underpass(es),2/27/18,February,"27","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"162",NoMa - First Street NE,3/13/18,March,"13","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"167",NoMa - Underpass(es),3/30/18,March,"30","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"170",NoMa - Underpass(es),4/5/18,April,"5","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"171",NoMa - First Street NE,4/10/18,April,"10","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"172",NoMa - First Street NE,4/12/18,April,"12","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"174",NoMa - Underpass(es),5/3/18,May,"3","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"176",NoMa - Underpass(es),5/9/18,May,"9","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"177",NoMa - First Street NE,5/9/18,May,"9","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"178",NoMa - First Street NE,5/10/18,May,"10","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"183",NoMa - Underpass(es),6/7/18,June,"7","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"184",NoMa - First Street NE,6/21/18,June,"21","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"187",NoMa - Underpass(es),7/12/18,July,"12","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"189",NoMa - Underpass(es),7/19/18,July,"19","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"190",NoMa - First Street NE,7/19/18,July,"19","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"192",NoMa - Underpass(es),7/31/18,July,"31","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"193",NoMa - Underpass(es),8/14/18,August,"14","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"194",NoMa - First Street NE,8/14/18,August,"14","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"197",NoMa - Underpass(es),8/29/18,August,"29","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"198",NoMa - Underpass(es),8/30/18,August,"30","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"199",NoMa - First Street NE,8/30/18,August,"30","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"201",NoMa - Underpass(es),9/13/18,September,"13","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"202",NoMa - First Street NE,9/13/18,September,"13","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"207",NoMa - Underpass(es),9/27/18,September,"27","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"208",NoMa - First Street NE,9/27/18,September,"27","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"215",NoMa - Underpass(es),10/11/18,October,"11","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"216",NoMa - First Street NE,10/11/18,October,"11","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"219",NoMa - Underpass(es),10/25/18,October,"25","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"220",NoMa - First Street NE,10/25/18,October,"25","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"224",NoMa - Underpass(es),11/8/18,November,"8","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"225",NoMa - First Street NE,11/8/18,November,"8","2018","38.901274, -77.006406","38.901274","-77.006406","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"227",NoMa - Underpass(es),11/20/18,November,"20","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"232",NoMa - Underpass(es),11/27/18,November,"27","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"239",NoMa - Underpass(es),12/13/18,December,"13","2018","38.902503, -77.004360","38.902503","-77.00436","11","001","010600","11001010600","106",Census Tract 106,G5020,S,"1231590","0","+38.9033120","-077.0033103"
"30",2016 Georgia Avenue NW,2/3/16,February,"3","2016","38.916897, -77.022155","38.916897","-77.022155","11","001","003500","11001003500","35",Census Tract 35,G5020,S,"382021","0","+38.9223765","-077.0243410"
"48",1600 Georgia Avenue NW,7/7/16,July,"7","2016","38.916350, -77.021916","38.91635","-77.021916","11","001","003500","11001003500","35",Census Tract 35,G5020,S,"382021","0","+38.9223765","-077.0243410"
"57",2016 Georgia Avenue NW,9/8/16,September,"8","2016","38.916897, -77.022155","38.916897","-77.022155","11","001","003500","11001003500","35",Census Tract 35,G5020,S,"382021","0","+38.9223765","-077.0243410"
"98",2016 Georgia Avenue NW,4/13/17,April,"13","2017","38.916897, -77.022155","38.916897","-77.022155","11","001","003500","11001003500","35",Census Tract 35,G5020,S,"382021","0","+38.9223765","-077.0243410"
"101",2016 Georgia Avenue NW,4/27/17,April,"27","2017","38.916897, -77.022155","38.916897","-77.022155","11","001","003500","11001003500","35",Census Tract 35,G5020,S,"382021","0","+38.9223765","-077.0243410"
"124",2016 Georgia Avenue NW,8/29/17,August,"29","2017","38.916897, -77.022155","38.916897","-77.022155","11","001","003500","11001003500","35",Census Tract 35,G5020,S,"382021","0","+38.9223765","-077.0243410"
"126",2016 Georgia Avenue NW,9/21/17,September,"21","2017","38.916897, -77.022155","38.916897","-77.022155","11","001","003500","11001003500","35",Census Tract 35,G5020,S,"382021","0","+38.9223765","-077.0243410"
"150",2016 Georgia Avenue NW,2/1/18,February,"1","2018","38.916897, -77.022155","38.916897","-77.022155","11","001","003500","11001003500","35",Census Tract 35,G5020,S,"382021","0","+38.9223765","-077.0243410"
"151",9th Street and Barry Place NW,2/1/18,February,"1","2018","38.920767, -77.024064","38.920767","-77.024064","11","001","003500","11001003500","35",Census Tract 35,G5020,S,"382021","0","+38.9223765","-077.0243410"
"203",Metropolitan Branch Trail and New York Avenue NE,9/21/18,September,"21","2018","38.909825, -77.001933","38.909825","-77.001933","11","001","008702","11001008702","87.02",Census Tract 87.02,G5020,S,"486411","0","+38.9150961","-077.0013085"
"209",Metropolitan Branch Trail and New York Avenue NE,10/1/18,October,"1","2018","38.909825, -77.001933","38.909825","-77.001933","11","001","008702","11001008702","87.02",Census Tract 87.02,G5020,S,"486411","0","+38.9150961","-077.0013085"
"242",Metropolitan Branch Trail and New York Avenue NE,12/20/18,December,"20","2018","38.909825, -77.001933","38.909825","-77.001933","11","001","008702","11001008702","87.02",Census Tract 87.02,G5020,S,"486411","0","+38.9150961","-077.0013085"
"2",1300 Block of New York Avenue NE (Parking lot by NY Ave Men’s shelter),May-15,May,N/A,"2015","38.915669, -76.985228","38.915669","-76.985228","11","001","008803","11001008803","88.03",Census Tract 88.03,G5020,S,"1168294","0","+38.9104603","-076.9913622"
"4",9th Street NE and Brentwood Parkway (Brentwood Reservoir),May-15,May,N/A,"2015","38.912067, -76.992022","38.912067","-76.992022","11","001","008803","11001008803","88.03",Census Tract 88.03,G5020,S,"1168294","0","+38.9104603","-076.9913622"
"24",320 Florida Avenue NE (behind Burger King),Dec-15,December,N/A,"2015","38.907644, -77.001626","38.907644","-77.001626","11","001","008803","11001008803","88.03",Census Tract 88.03,G5020,S,"1168294","0","+38.9104603","-076.9913622"
"5",1900 Montana Avenue NE,May-15,May,N/A,"2015","38.916479, -76.977760","38.916479","-76.97776","11","001","008804","11001008804","88.04",Census Tract 88.04,G5020,S,"778052","0","+38.9102408","-076.9812669"
"130",21st Street and Virginia Avenue NW,10/5/17,October,"5","2017","38.895360, -77.046467","38.89536","-77.046467","11","001","010800","11001010800","108",Census Tract 108,G5020,S,"661580","0","+38.8973521","-077.0446120"
"134",21st Street and Virginia Avenue NW,10/12/17,October,"12","2017","38.895360, -77.046467","38.89536","-77.046467","11","001","010800","11001010800","108",Census Tract 108,G5020,S,"661580","0","+38.8973521","-077.0446120"
"139",21st Street and Virginia Avenue NW,11/2/17,November,"2","2017","38.895360, -77.046467","38.89536","-77.046467","11","001","010800","11001010800","108",Census Tract 108,G5020,S,"661580","0","+38.8973521","-077.0446120"
"140",21st Street and Virginia Avenue NW,11/7/17,November,"7","2017","38.895360, -77.046467","38.89536","-77.046467","11","001","010800","11001010800","108",Census Tract 108,G5020,S,"661580","0","+38.8973521","-077.0446120"
"155",21st Street and Virginia Avenue NW,2/8/18,February,"8","2018","38.895360, -77.046467","38.89536","-77.046467","11","001","010800","11001010800","108",Census Tract 108,G5020,S,"661580","0","+38.8973521","-077.0446120"
"166",21st Street and Virginia Avenue NW,3/29/18,March,"29","2018","38.895360, -77.046467","38.89536","-77.046467","11","001","010800","11001010800","108",Census Tract 108,G5020,S,"661580","0","+38.8973521","-077.0446120"
"182",21st Street and Virginia Avenue NW,5/31/18,May,"31","2018","38.895360, -77.046467","38.89536","-77.046467","11","001","010800","11001010800","108",Census Tract 108,G5020,S,"661580","0","+38.8973521","-077.0446120"
"191",21st Street and Virginia Avenue NW,7/26/18,July,"26","2018","38.895360, -77.046467","38.89536","-77.046467","11","001","010800","11001010800","108",Census Tract 108,G5020,S,"661580","0","+38.8973521","-077.0446120"
"200",21st Street and Virginia Avenue NW,9/4/18,September,"4","2018","38.895360, -77.046467","38.89536","-77.046467","11","001","010800","11001010800","108",Census Tract 108,G5020,S,"661580","0","+38.8973521","-077.0446120"
"233",21st Street and Virginia Avenue NW,11/29/18,November,"29","2018","38.895360, -77.046467","38.89536","-77.046467","11","001","010800","11001010800","108",Census Tract 108,G5020,S,"661580","0","+38.8973521","-077.0446120"
"121",2210 Adams Place NE,8/24/17,August,"24","2017","38.919279, -76.974644","38.919279","-76.974644","11","001","011100","11001011100","111",Census Tract 111,G5020,S,"5718693","366232","+38.9158612","-076.9681631"
"14",4450 Wisconsin Avenue NW (Tenley-Friendship Library),Oct-15,October,N/A,"2015","38.947722, -77.079572","38.947722","-77.079572","11","001","001001","11001001001","10.01",Census Tract 10.01,G5020,S,"2454383","0","+38.9489546","-077.0884650"
"10",4340 Connecticut Avenue NW,Aug-15,August,N/A,"2015","38.946295, -77.06475","38.946295","-77.06475","11","001","001200","11001001200","12",Census Tract 12,G5020,S,"1218245","0","+38.9462264","-077.0705239"
"94",4250 Connecticut Avenue NW,4/11/17,April,"11","2017","38.944922, -77.064683","38.944922","-77.064683","11","001","001200","11001001200","12",Census Tract 12,G5020,S,"1218245","0","+38.9462264","-077.0705239"
"180",4250 Connecticut Avenue NW,5/24/18,May,"24","2018","38.944922, -77.064683","38.944922","-77.064683","11","001","001200","11001001200","12",Census Tract 12,G5020,S,"1218245","0","+38.9462264","-077.0705239"
"123",6001 Georgia Avenue NW,8/29/17,August,"29","2017","38.963136, -77.027389","38.963136","-77.027389","11","001","001901","11001001901","19.01",Census Tract 19.01,G5020,S,"769306","0","+38.9646853","-077.0236327"
"27",909 E Street NW,1/26/16,January,"26","2016","38.896257, -77.024706","38.896257","-77.024706","11","001","005800","11001005800","58",Census Tract 58,G5020,S,"914536","0","+38.8978616","-077.0250305"
"28",7th Street and Pennsylvania Avenue NW,1/28/16,January,"28","2016","38.893402, -77.021928","38.893402","-77.021928","11","001","005800","11001005800","58",Census Tract 58,G5020,S,"914536","0","+38.8978616","-077.0250305"
"127",9th Street and F Street NW,9/26/17,September,"26","2017","38.897313, -77.024000","38.897313","-77.024","11","001","005800","11001005800","58",Census Tract 58,G5020,S,"914536","0","+38.8978616","-077.0250305"
"159",7th Street and D Street NW,3/1/18,March,"1","2018","38.894798, -77.021912","38.894798","-77.021912","11","001","005800","11001005800","58",Census Tract 58,G5020,S,"914536","0","+38.8978616","-077.0250305"
"211",8th Street and H Street NW,10/4/18,October,"4","2018","38.899813, -77.022948","38.899813","-77.022948","11","001","005800","11001005800","58",Census Tract 58,G5020,S,"914536","0","+38.8978616","-077.0250305"
"213",12th Street and G Street NW,10/9/18,October,"9","2018","38.898307, -77.028051","38.898307","-77.028051","11","001","005800","11001005800","58",Census Tract 58,G5020,S,"914536","0","+38.8978616","-077.0250305"
"135",3rd Street and Rhode Island Avenue NW,10/12/17,October,"12","2017","38.914532, -77.015744","38.914532","-77.015744","11","001","003400","11001003400","34",Census Tract 34,G5020,S,"917526","159593","+38.9221781","-077.0175890"
