location,date_full,month,day,year,coordinates,link,latitude,longitude,notes/questions
700 3rd Street NW,2/25/16,February,25,2016,"38.898325, -77.015232",https://goo.gl/maps/U4HHLx7bVMXC7TyJ8,38.898325,-77.015232,
3rd Street Tunnel,3/1/16,March,1,2016,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
3rd Street Tunnel,3/2/16,March,2,2016,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
295 overpass at Sousa Bridge,3/8/16,March,8,2016,NA,NA,NA,NA,Which side of the bridge?
7th Street and Maryland Avenue NE,3/9/16,March,9,2016,"38.894898, -76.996167",https://goo.gl/maps/XLyafm82PBLsTDCn8,38.894898,-76.996167,
1000 Maine Avenue SW,3/9/16,March,9,2016,"38.881071, -77.026150",https://goo.gl/maps/5sUj9nSKLRaB27GdA,38.881071,-77.02615,
NoMa - First Street NE,3/11/16,March,11,2016,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
600-900 Pennsylvania Avenue NW,3/29/16,March,29,2016,"38.891390, -77.015250",https://goo.gl/maps/dpZj3VW32Q1RiZbq7,38.89139,-77.01525,
3rd Street and G Street NW,4/18/16,April,18,2016,"38.898328, -77.015230",https://goo.gl/maps/EmzwCh4st6RAK8Qr9,38.898328,-77.01523,
20th Street and Pennsylvania Avenue NW,5/17/16,May,17,2016,"38.900788, -77.044930",https://goo.gl/maps/sZwRqWNVp9FQ5STy9,38.900788,-77.04493,
1300 Maine Avenue SW,5/19/16,May,19,2016,"38.882308, -77.029521",https://goo.gl/maps/RSV9BgeYXxfT7d6M9,38.882308,-77.029521,
NoMa - Underpass(es),5/24/16,May,24,2016,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - Underpass(es),6/28/16,June,28,2016,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
16th Street and I Street NW,6/30/16,June,30,2016,"38.901343, -77.036556",https://goo.gl/maps/Zf4oV63dkWWJdfTCA,38.901343,-77.036556,
1100 Maine Avenue SW,7/5/16,July,5,2016,"38.881701, -77.027838",https://goo.gl/maps/nxFYz8LiLWm3QqXS7,38.881701,-77.027838,
1600 Georgia Avenue NW,7/7/16,July,7,2016,"38.916350, -77.021916",https://goo.gl/maps/B7dW5QLnKuwWdnW16,38.91635,-77.021916,
16th Street and I Street NW,7/19/16,July,19,2016,"38.901343, -77.036556",https://goo.gl/maps/Zf4oV63dkWWJdfTCA,38.901343,-77.036556,
1000 Block of New Jersey Avenue NW,7/26/16,July,26,2016,"38.902522, -77.013728",https://goo.gl/maps/bd7x62rfi9j5GnQS7,38.902522,-77.013728,
Whitehurst Freeway - 26th/27th and K NW,7/28/16,July,28,2016,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
NoMa - Underpass(es),8/2/16,August,2,2016,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,8/4/16,August,4,2016,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
NoMa - Underpass(es),8/30/16,August,30,2016,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
Whitehurst Freeway - 26th/27th and K NW,9/1/16,September,1,2016,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
Seward Square,9/6/16,September,6,2016,"38.885840, -76.999683",https://goo.gl/maps/jqFPJd9GZcKr8YZD8,38.88584,-76.999683,
2016 Georgia Avenue NW,9/8/16,September,8,2016,"38.916897, -77.022155",https://goo.gl/maps/V4NBfP7uBfXnuSLw9,38.916897,-77.022155,
16th Street and K Street NW,9/8/16,September,8,2016,"38.902635, -77.036550",https://goo.gl/maps/tPXTNFLfotxJvC6V9,38.902635,-77.03655,
3rd Street Tunnel,9/13/16,September,13,2016,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
Washington Circle,9/20/16,September,20,2016,"38.902516, -77.050162",https://goo.gl/maps/iqe9exdxbDGFxdZM9,38.902516,-77.050162,
1701 Corcoran Street NW,9/20/16,September,20,2016,"38.912003, -77.038928",https://goo.gl/maps/3P1CLAfAZ9Dwfac86,38.912003,-77.038928,
295 overpass at Sousa Bridge,9/27/16,September,27,2016,NA,NA,NA,NA,Which side of the bridge?
Whitehurst Freeway - 26th/27th and K NW,10/4/16,September,4,2016,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
2nd Street and New Jersey Avenue NW,10/11/16,October,11,2016,"38.902092, -77.013656",https://goo.gl/maps/Tg7VSSoDAueUM8WUA,38.902092,-77.013656,
Washington Circle,10/25/16,October,25,2016,"38.902516, -77.050162",https://goo.gl/maps/iqe9exdxbDGFxdZM9,38.902516,-77.050162,
2nd Street and New Jersey Avenue NW,11/1/16,November,1,2016,"38.902092, -77.013656",https://goo.gl/maps/Tg7VSSoDAueUM8WUA,38.902092,-77.013656,
Whitehurst Freeway - 26th/27th and K NW,11/3/16,November,3,2016,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
NoMa - Underpass(es),11/10/16,November,10,2016,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
2600 L Street NW,11/10/16,November,10,2016,"38.903761, -77.054026",https://goo.gl/maps/1Czv4jWmZY64nZiW6,38.903761,-77.054026,
Washington Circle,11/17/16,November,17,2016,"38.902516, -77.050162",https://goo.gl/maps/iqe9exdxbDGFxdZM9,38.902516,-77.050162,
NoMa - Underpass(es),11/22/16,November,22,2016,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
