coc_code,coc_name,state_code,poverty_rate,eviction_rate,eviction_filing_rate,median_household_income,median_gross_rent,rent_burden,median_property_value
ak-500,anchorage coc,ak,6.228909090909091,NA,3.111090909090909,80523.18181818182,1329.9454545454546,28.485454545454544,292778.8461538461
ca-500,san jose/santa clara city & county coc,ca,6.926478494623656,0.3471236559139785,0.3569623655913979,101287.70161290323,1862.0027100271002,30.458333333333332,746337.621253406
ca-501,san francisco coc,ca,8.184307692307693,0.22964102564102565,0.5181025641025641,85014.00515463918,1632.5773195876288,29.12205128205128,857057.4751381215
ca-502,"oakland, berkeley/alameda county coc",ca,9.526055555555555,0.593,0.9870833333333333,82248.725,1537.2028169014084,31.23988764044944,531256.7443820224
ca-504,"santa rosa, petaluma/sonoma county coc",ca,7.6180808080808085,NA,NA,67265.47474747474,1400.6969696969697,33.20909090909091,455577.77777777775
ca-505,richmond/contra costa county coc,ca,8.139951923076923,0.40057692307692305,0.475625,88961.71014492754,1675.0341463414634,32.83671497584541,472862.3188405797
ca-506,"salinas/monterey, san benito counties coc",ca,12.90471153846154,0.5955769230769231,0.6149038461538462,64005.450980392154,1377.549019607843,33.331372549019605,407435.05154639174
ca-508,watsonville/santa cruz city & county coc,ca,8.68576923076923,0.39576923076923076,0.40134615384615385,71400,1508.5384615384614,35.36730769230769,568590.3846153846
ca-509,mendocino county coc,ca,13.5445,0.5135,0.563,43982.6,984.45,36.375,331620
ca-519,"chico, paradise/butte county coc",ca,14.920392156862745,NA,NA,45160.41176470588,945.9215686274509,36.02156862745098,219147.0588235294
ca-522,humboldt county coc,ca,12.535666666666666,NA,NA,42884.333333333336,928.6,36,283816.6666666667
ca-523,"colusa, glenn, trinity counties coc",ca,12.514375,0.976875,1.0825,42881.0625,804.1875,31.075,229800
ca-524,yuba city & county/sutter county coc,ca,17.33742857142857,NA,NA,50590.2,998.3428571428572,33.691428571428574,181135.29411764705
ca-526,"tuolumne, amador, calaveras, mariposa counties coc",ca,8.233888888888888,0.40375,0.40375,52696,1014.4117647058823,33.58,254920
ca-600,los angeles city & county coc,ca,15.342011121408712,0.7122484932777005,0.7299397311080204,61162.549812030076,1385.2726410621146,36.33126177024482,482486.7067961165
ca-601,san diego city and county coc,ca,10.929298245614035,0.6398564593301436,0.9374960127591706,69356.30112721417,1520.892857142857,34.46457326892109,451256.5375816993
ca-606,long beach coc,ca,15.906428571428572,2.6292857142857144,2.776964285714286,56445.90476190476,1251.4,34.25660377358491,412367.96116504853
ca-607,pasadena coc,ca,9.34,0.5721212121212121,0.5957575757575757,78835.15151515152,1536.1515151515152,32.22121212121212,601948.4848484849
ca-614,san luis obispo county coc,ca,8.984716981132076,NA,NA,61628.72549019608,1320.2115384615386,34.74230769230769,486301.96078431373
dc-500,district of columbia coc,dc,14.190446927374301,2.8496648044692736,16.962290502793294,75466.36363636363,1367.8181818181818,31.27840909090909,488378.612716763
fl-502,"st. petersburg, clearwater, largo/pinellas county coc",fl,10.418979591836734,2.3548163265306123,4.902653061224489,48318.68032786885,1034.3319672131147,33.425,165230.73770491802
fl-504,"daytona beach, daytona/volusia, flagler counties coc",fl,12.27375939849624,2.3542477876106194,4.022389380530973,43253.03007518797,1004.2255639097745,35.661654135338345,144407.5187969925
fl-505,"fort walton beach/okaloosa, walton counties coc",fl,10.68596153846154,1.4638461538461538,1.5096153846153846,54158.192307692305,1081.25,32.33461538461538,201205.88235294117
fl-509,"fort pierce/st. lucie, indian river, martin counties coc",fl,11.550366972477065,1.2227692307692308,2.3506153846153848,48153.53773584906,1022.0769230769231,34.415238095238095,169854.71698113208
fl-512,st. johns county coc,fl,7.06975,NA,NA,74160.71794871795,1314.5384615384614,32.217948717948715,287997.4358974359
fl-517,"hendry, hardee, highlands counties coc",fl,16.30430769230769,1.0596226415094339,3.421320754716981,35445.8813559322,711.7118644067797,32.79322033898305,89350.84745762713
fl-518,"columbia, hamilton, lafayette, suwannee counties coc",fl,18.468333333333334,1.7929166666666667,3.100833333333333,38938.166666666664,723.75,28.220833333333335,97945.83333333333
fl-519,pasco county coc,fl,11.09015037593985,3.0806015037593983,4.167894736842105,45871.466165413534,986.9694656488549,33.09015151515152,117069.92481203008
fl-602,punta gorda/charlotte county coc,fl,8.74871794871795,1.47,2.0538461538461537,47087.89473684211,960.3947368421053,31.26578947368421,163518.42105263157
fl-604,monroe county coc,fl,7.833103448275862,0.7096551724137931,0.8589655172413793,62306.67857142857,1421.107142857143,35.628571428571426,487046.4285714286
ga-500,atlanta coc,ga,20.59111111111111,5.496111111111111,18.751587301587303,51689.91056910569,996.7317073170732,34.651612903225804,222129.05982905984
ga-507,savannah/chatham county coc,ga,17.833055555555557,20.880972222222223,56.17805555555555,43661.637681159424,962.1911764705883,35.201470588235296,189689.55223880598
hi-500,hawaii balance of state coc,hi,9.929651162790698,0.38142857142857145,0.5102857142857143,58890.5625,1204.85,32.93625,438755
hi-501,honolulu city and county coc,hi,6.66880658436214,NA,NA,78272.75324675324,1801.7423580786026,33.29347826086956,591851.2009569379
ky-502,lexington-fayette county coc,ky,13.656829268292682,3.9275609756097563,5.201829268292683,56171.365853658535,855.6962025316456,29.96875,192281.01265822785
la-503,new orleans/jefferson parish coc,la,19.15188118811881,2.001188118811881,5.476831683168316,45327.210169491525,962.8477508650519,36.303125,208473.70242214532
ma-500,boston coc,ma,15.484692737430167,1.2713966480446928,4.890670391061453,59383.46153846154,1326.8579881656806,32.06153846153846,423902.4691358025
